Image_Label,image,label
0011165.jpg_Fish,0011165.jpg,Fish
0011165.jpg_Flower,0011165.jpg,Flower
002be4f.jpg_Fish,002be4f.jpg,Fish
002be4f.jpg_Flower,002be4f.jpg,Flower
002be4f.jpg_Sugar,002be4f.jpg,Sugar
0031ae9.jpg_Fish,0031ae9.jpg,Fish
0031ae9.jpg_Flower,0031ae9.jpg,Flower
0031ae9.jpg_Sugar,0031ae9.jpg,Sugar
0035239.jpg_Flower,0035239.jpg,Flower
0035239.jpg_Gravel,0035239.jpg,Gravel
003994e.jpg_Fish,003994e.jpg,Fish
003994e.jpg_Gravel,003994e.jpg,Gravel
003994e.jpg_Sugar,003994e.jpg,Sugar
00498ec.jpg_Gravel,00498ec.jpg,Gravel
006bf7c.jpg_Fish,006bf7c.jpg,Fish
006bf7c.jpg_Sugar,006bf7c.jpg,Sugar
006c5a6.jpg_Fish,006c5a6.jpg,Fish
006c5a6.jpg_Sugar,006c5a6.jpg,Sugar
008233e.jpg_Sugar,008233e.jpg,Sugar
008a5ff.jpg_Fish,008a5ff.jpg,Fish
008a5ff.jpg_Sugar,008a5ff.jpg,Sugar
0091591.jpg_Flower,0091591.jpg,Flower
0091591.jpg_Gravel,0091591.jpg,Gravel
0091591.jpg_Sugar,0091591.jpg,Sugar
0095357.jpg_Sugar,0095357.jpg,Sugar
009e2f3.jpg_Fish,009e2f3.jpg,Fish
009e2f3.jpg_Gravel,009e2f3.jpg,Gravel
009e2f3.jpg_Sugar,009e2f3.jpg,Sugar
00a0954.jpg_Gravel,00a0954.jpg,Gravel
00a0954.jpg_Sugar,00a0954.jpg,Sugar
00b81e1.jpg_Flower,00b81e1.jpg,Flower
00b81e1.jpg_Gravel,00b81e1.jpg,Gravel
00b81e1.jpg_Sugar,00b81e1.jpg,Sugar
00bea06.jpg_Fish,00bea06.jpg,Fish
00bea06.jpg_Gravel,00bea06.jpg,Gravel
00cedfa.jpg_Gravel,00cedfa.jpg,Gravel
00cedfa.jpg_Sugar,00cedfa.jpg,Sugar
00d4443.jpg_Sugar,00d4443.jpg,Sugar
00dec6a.jpg_Fish,00dec6a.jpg,Fish
00dec6a.jpg_Flower,00dec6a.jpg,Flower
00dec6a.jpg_Gravel,00dec6a.jpg,Gravel
00dec6a.jpg_Sugar,00dec6a.jpg,Sugar
0100a84.jpg_Fish,0100a84.jpg,Fish
0100a84.jpg_Gravel,0100a84.jpg,Gravel
0104b5b.jpg_Sugar,0104b5b.jpg,Sugar
0107838.jpg_Fish,0107838.jpg,Fish
0107838.jpg_Gravel,0107838.jpg,Gravel
0107838.jpg_Sugar,0107838.jpg,Sugar
0118bff.jpg_Flower,0118bff.jpg,Flower
0118bff.jpg_Sugar,0118bff.jpg,Sugar
011ba04.jpg_Fish,011ba04.jpg,Fish
011ba04.jpg_Flower,011ba04.jpg,Flower
011ba04.jpg_Sugar,011ba04.jpg,Sugar
01242d7.jpg_Fish,01242d7.jpg,Fish
01242d7.jpg_Gravel,01242d7.jpg,Gravel
01242d7.jpg_Sugar,01242d7.jpg,Sugar
014310a.jpg_Fish,014310a.jpg,Fish
014310a.jpg_Sugar,014310a.jpg,Sugar
0146ef3.jpg_Fish,0146ef3.jpg,Fish
0153a8b.jpg_Fish,0153a8b.jpg,Fish
0153a8b.jpg_Gravel,0153a8b.jpg,Gravel
0153a8b.jpg_Sugar,0153a8b.jpg,Sugar
015aa06.jpg_Fish,015aa06.jpg,Fish
015aa06.jpg_Flower,015aa06.jpg,Flower
015aa06.jpg_Gravel,015aa06.jpg,Gravel
015aa06.jpg_Sugar,015aa06.jpg,Sugar
015b764.jpg_Fish,015b764.jpg,Fish
015b764.jpg_Flower,015b764.jpg,Flower
015b764.jpg_Sugar,015b764.jpg,Sugar
016c135.jpg_Fish,016c135.jpg,Fish
016c135.jpg_Gravel,016c135.jpg,Gravel
016c135.jpg_Sugar,016c135.jpg,Sugar
017ded1.jpg_Fish,017ded1.jpg,Fish
017ded1.jpg_Sugar,017ded1.jpg,Sugar
0187cd7.jpg_Flower,0187cd7.jpg,Flower
0187cd7.jpg_Gravel,0187cd7.jpg,Gravel
0187cd7.jpg_Sugar,0187cd7.jpg,Sugar
01a7865.jpg_Flower,01a7865.jpg,Flower
01a7865.jpg_Gravel,01a7865.jpg,Gravel
01a7865.jpg_Sugar,01a7865.jpg,Sugar
01c6ec3.jpg_Flower,01c6ec3.jpg,Flower
01eecc1.jpg_Fish,01eecc1.jpg,Fish
0208ccf.jpg_Flower,0208ccf.jpg,Flower
0208ccf.jpg_Sugar,0208ccf.jpg,Sugar
021bb26.jpg_Fish,021bb26.jpg,Fish
021bb26.jpg_Sugar,021bb26.jpg,Sugar
0225687.jpg_Fish,0225687.jpg,Fish
0225687.jpg_Flower,0225687.jpg,Flower
0225687.jpg_Gravel,0225687.jpg,Gravel
022a275.jpg_Gravel,022a275.jpg,Gravel
022d78c.jpg_Flower,022d78c.jpg,Flower
022d78c.jpg_Gravel,022d78c.jpg,Gravel
