,label,set
9070,Fish,train
6634,Fish,train
10348,Fish,train
10317,Fish,train
6093,Fish,train
8075,Fish,train
7199,Fish,train
112,Fish,train
11533,Fish,train
9521,Fish,train
7501,Fish,train
1300,Fish,train
1146,Fish,train
3765,Fish,train
3711,Fish,train
10650,Fish,train
5552,Fish,train
9036,Fish,train
200,Fish,train
8313,Fish,train
7210,Fish,train
9247,Fish,train
2950,Fish,train
1308,Fish,train
6772,Fish,train
1850,Fish,train
8253,Fish,train
8750,Fish,train
10780,Fish,train
8282,Fish,train
10066,Fish,train
7961,Fish,train
6763,Fish,train
2967,Fish,train
6270,Fish,train
504,Fish,train
5757,Fish,train
5253,Fish,train
6824,Fish,train
10739,Fish,train
6202,Fish,train
7126,Fish,train
6660,Fish,train
4669,Fish,train
2011,Fish,train
8130,Fish,train
4693,Fish,train
11811,Fish,train
10507,Fish,train
964,Fish,train
3548,Fish,train
2992,Fish,train
19,Fish,train
8551,Fish,train
5444,Fish,train
9894,Fish,train
6479,Fish,train
1323,Fish,train
9860,Fish,train
9992,Fish,train
271,Fish,train
2167,Fish,train
5579,Fish,train
4476,Fish,train
11265,Fish,train
7860,Fish,train
731,Fish,train
2587,Fish,train
9780,Fish,train
5581,Fish,train
11175,Fish,train
3252,Fish,train
1783,Fish,train
1010,Fish,train
62,Fish,train
3997,Fish,train
1866,Fish,train
5729,Fish,train
5789,Fish,train
5094,Fish,train
2478,Fish,train
6839,Fish,train
3443,Fish,train
2333,Fish,train
7924,Fish,train
1111,Fish,train
9186,Fish,train
2353,Fish,train
5597,Fish,train
3492,Fish,train
5716,Fish,train
8670,Fish,train
9087,Fish,train
8523,Fish,train
507,Fish,train
998,Fish,train
2356,Fish,train
8873,Fish,train
11492,Fish,train
2367,Fish,train
3053,Fish,train
14,Fish,train
11277,Fish,train
9467,Fish,train
8700,Fish,train
9545,Fish,train
5882,Fish,train
5866,Fish,train
4297,Fish,train
155,Fish,train
3729,Fish,train
10928,Fish,train
6580,Fish,train
893,Fish,train
5200,Fish,train
9636,Fish,train
5760,Fish,train
2405,Fish,train
5065,Fish,train
2098,Fish,train
11239,Fish,train
10417,Fish,train
1316,Fish,train
4656,Fish,train
7025,Fish,train
4587,Fish,train
5602,Fish,train
4761,Fish,train
6993,Fish,train
5015,Fish,train
11377,Fish,train
9668,Fish,train
7744,Fish,train
3409,Fish,train
7556,Fish,train
10869,Fish,train
10564,Fish,train
8308,Fish,train
1907,Fish,train
6283,Fish,train
9973,Fish,train
11117,Fish,train
4640,Fish,train
218,Fish,train
2646,Fish,train
4871,Fish,train
3030,Fish,train
9730,Fish,train
1358,Fish,train
8214,Fish,train
3916,Fish,train
6418,Fish,train
2305,Fish,train
2817,Fish,train
1443,Fish,train
3943,Fish,train
10525,Fish,train
6386,Fish,train
3477,Fish,train
3367,Fish,train
2078,Fish,train
8596,Fish,train
7971,Fish,train
8033,Fish,train
2840,Fish,train
8505,Fish,train
1082,Fish,train
4408,Fish,train
8955,Fish,train
2623,Fish,train
6831,Fish,train
2933,Fish,train
1700,Fish,train
11104,Fish,train
7098,Fish,train
4171,Fish,train
8624,Fish,train
1597,Fish,train
5039,Fish,train
5316,Fish,train
7929,Fish,train
10167,Fish,train
1733,Fish,train
8160,Fish,train
11508,Fish,train
4810,Fish,train
8539,Fish,train
3329,Fish,train
10952,Fish,train
9109,Fish,train
7248,Fish,train
6469,Fish,train
10993,Fish,train
8870,Fish,train
3563,Fish,train
8303,Fish,train
5952,Fish,train
2750,Fish,train
3340,Fish,train
2689,Fish,train
9837,Fish,train
1515,Fish,train
4915,Fish,train
2156,Fish,train
487,Fish,train
7868,Fish,train
2062,Fish,train
11076,Fish,train
4377,Fish,train
851,Fish,train
353,Fish,train
6109,Fish,train
7033,Fish,train
7090,Fish,train
5583,Fish,train
1268,Fish,train
1286,Fish,train
6181,Fish,train
6075,Fish,train
1422,Fish,train
3934,Fish,train
8679,Fish,train
7462,Fish,train
666,Fish,train
1232,Fish,train
9079,Fish,train
8380,Fish,train
5281,Fish,train
186,Fish,train
7254,Fish,train
10637,Fish,train
967,Fish,train
2462,Fish,train
5765,Fish,train
6457,Fish,train
10303,Fish,train
2771,Fish,train
303,Fish,train
3656,Fish,train
2249,Fish,train
8766,Fish,train
10999,Fish,train
4108,Fish,train
7121,Fish,train
11629,Fish,train
10371,Fish,train
4969,Fish,train
860,Fish,train
9231,Fish,train
3050,Fish,train
6710,Fish,train
7593,Fish,train
7887,Fish,train
6966,Fish,train
